% Year	Month	Day	Hour	Minute	Sec	Lat	Lon	Depth	Magnitude	ID	parID	Gen	OrigTime	distToParent	nthERFIndex	FSS_ID	GridNodeIndex
2018	01	03	12	39	27.362	34.33553862016739	-117.57708155812824	9.749146441422974	3.15	1477	0	1	1514983167362	0.024188889911960734	598682	-1	1557
2018	01	03	12	55	18.671	34.374377650037836	-117.7107813539234	9.31596089990756	3.15	764	0	1	1514984118671	0.3901474187461206	616963	-1	1642
2018	01	03	12	55	25.521	34.369518693081034	-117.63834458394084	9.287802838397903	2.8499999999999996	1001	0	1	1514984125521	3.151398987932246	617150	-1	1643
2018	01	03	12	58	33.576	34.257840098499976	-117.4154704125475	11.83328927870784	3.05	556	0	1	1514984313576	0.701974817396069	599146	-1	1559
2018	01	03	13	32	02.070	34.48432108673305	-117.82541510670026	10.611016640861012	3.05	800	0	1	1514986322070	7.571250058150178	634891	-1	1727
2018	01	03	13	41	23.750	34.30085051373727	-117.50119594198874	6.773411378166827	2.65	1975	1103	2	1514986883750	0.06163155774545928	598794	-1	1558
2018	01	03	14	37	08.968	34.30002158023037	-117.51196959277584	10.707988896788406	2.55	1041	0	1	1514990228968	0.45295345735977266	598793	-1	1558
2018	01	03	14	44	36.355	34.432799088736196	-117.82853750717912	10.89863507869632	2.8499999999999996	999	0	1	1514990676355	0.5231395835866484	616694	-1	1641
2018	01	03	14	48	06.587	34.32058988895819	-117.58533644522164	5.027226638259258	2.65	2294	2254	4	1514990886587	0.5940496963002213	598755	-1	1557
2018	01	03	15	13	50.030	34.39940283285902	-117.77548105304149	1.5128710349489287	2.55	2126	1506	2	1514992430030	0.38785905093564293	616729	-1	1641
2018	01	03	16	07	02.693	34.33576782110335	-117.53736728749017	6.066586537811421	2.75	2168	2127	3	1514995622693	0.07017204362416056	598834	-1	1558
2018	01	03	16	21	31.416	34.339285388743946	-117.448997401814	7.483380765559303	3.55	1202	0	1	1514996491416	6.4086888212537625	599073	-1	1559
2018	01	03	17	05	57.576	34.367796633389254	-117.59900408966243	14.177471503823636	2.75	214	0	1	1514999157576	5.452457863152155	617111	-1	1643
2018	01	03	17	42	40.174	34.30492658433169	-117.50213571262942	7.653260058810045	4.45	2175	2127	3	1515001360174	0.21579417205472182	598890	-1	1558
2018	01	03	18	00	27.491	34.334090629702985	-117.61842762005698	6.2434788390773095	2.55	2063	569	2	1515002427491	3.63869565375008	598676	-1	1557
2018	01	03	18	41	07.114	34.30291024776587	-117.50356810457255	6.740972127850348	3.15	2377	2175	4	1515004867114	1.2047394906216407	598877	-1	1558
2018	01	03	18	49	49.057	34.299062214864136	-117.49487700532485	7.699373760635623	2.55	2378	2175	4	1515005389057	0.12746067559823604	598871	-1	1558
2018	01	03	18	55	58.271	34.28078554138314	-117.48339553273935	9.713808231070066	2.65	1944	67	2	1515005758271	1.304145933105702	598872	-1	1558
2018	01	03	19	30	29.285	34.31970007222502	-117.55906080067939	8.079369076011677	3.05	1653	0	1	1515007829285	0.31251675281027735	598681	-1	1557
2018	01	03	19	51	25.823	34.46012066286131	-117.64504108953307	4.995844642977476	2.9499999999999997	1380	0	1	1515009085823	9.719440581670934	635468	-1	1729
